"Story","Title","Result","Date","Stability","Duration (s)"
"Example google automation","Open google homepage, search for docker, and verify the first result contains docker","PENDING","2019-01-25T10:36:35.863-05:00[America/New_York]","0.0","0.45"
"Test feature template","Test GET API scenario","PENDING","2019-01-25T10:36:46.241-05:00[America/New_York]","0.0","0.03"
"Test feature template","Test POST API scenario","PENDING","2019-01-25T10:36:46.485-05:00[America/New_York]","0.0","0.01"
"Test feature template","Test UI scenario","PENDING","2019-01-25T10:36:46.718-05:00[America/New_York]","0.0","0.01"
"Test feature template","Test scenario outline with examples","PENDING","2019-01-25T10:36:46.898-05:00[America/New_York]","0.0","0.01"
