"Story","Title","Result","Date","Stability","Duration (s)"
"Test feature template","Test scenario","SUCCESS","2019-01-24T13:26:52.633-05:00[America/New_York]","0.0","6.02"
"Test feature template","Test scenario outline with examples","SUCCESS","2019-01-24T13:27:05.445-05:00[America/New_York]","0.0","0.02"
